condition_id,metric_id,value,reason,gene_count
BDP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BDP1+ctrl,trishift_pearson_delta,-0.58110414159824686,,20
BDP1+ctrl,systema_pearson,-0.71100119698041087,,20
BOP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BOP1+ctrl,trishift_pearson_delta,0.070346110309672097,,20
BOP1+ctrl,systema_pearson,-0.94350415014760092,,20
BRCA2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BRCA2+ctrl,trishift_pearson_delta,-0.20115947420438079,,20
BRCA2+ctrl,systema_pearson,-0.22967716571704955,,20
BRF1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BRF1+ctrl,trishift_pearson_delta,-0.28553007399068647,,20
BRF1+ctrl,systema_pearson,-0.45724455081517179,,20
BRIP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BRIP1+ctrl,trishift_pearson_delta,-0.46566038011265354,,20
BRIP1+ctrl,systema_pearson,-0.12378197717056434,,20
BTF3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BTF3+ctrl,trishift_pearson_delta,-0.14387706210763004,,20
BTF3+ctrl,systema_pearson,-0.38780196892286312,,20
BTF3L4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BTF3L4+ctrl,trishift_pearson_delta,3.6707116499029342e-05,,20
BTF3L4+ctrl,systema_pearson,0.015705922658954988,,20
BUB1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUB1+ctrl,trishift_pearson_delta,-0.19272115397152637,,20
BUB1+ctrl,systema_pearson,0.013399378525480307,,20
BUB1B+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUB1B+ctrl,trishift_pearson_delta,-0.127182822494639,,20
BUB1B+ctrl,systema_pearson,0.19760026191367075,,20
BUB3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUB3+ctrl,trishift_pearson_delta,0.083007902871221312,,20
BUB3+ctrl,systema_pearson,0.30083692482664304,,20
BUD13+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUD13+ctrl,trishift_pearson_delta,-0.26581220398669231,,20
BUD13+ctrl,systema_pearson,-0.39957875352350519,,20
BYSL+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BYSL+ctrl,trishift_pearson_delta,-0.41617493470222583,,20
BYSL+ctrl,systema_pearson,-0.97466096219387288,,20
C6orf15+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
C6orf15+ctrl,trishift_pearson_delta,0.22404550256202621,,20
C6orf15+ctrl,systema_pearson,-0.015968552340872098,,20
C7orf26+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
C7orf26+ctrl,trishift_pearson_delta,0.098649362546167699,,20
C7orf26+ctrl,systema_pearson,-0.18783157158282235,,20
CABIN1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CABIN1+ctrl,trishift_pearson_delta,-0.45676112020804555,,20
CABIN1+ctrl,systema_pearson,-0.46132320649437791,,20
CACTIN+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CACTIN+ctrl,trishift_pearson_delta,-0.01359278801803129,,20
CACTIN+ctrl,systema_pearson,-0.63418561515875316,,20
CAMLG+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CAMLG+ctrl,trishift_pearson_delta,0.14273801934161517,,20
CAMLG+ctrl,systema_pearson,-0.029733710034798858,,20
CBX1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CBX1+ctrl,trishift_pearson_delta,0.02689926630699099,,20
CBX1+ctrl,systema_pearson,-0.286063686044712,,20
CCDC115+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCDC115+ctrl,trishift_pearson_delta,0.60666377401161553,,20
CCDC115+ctrl,systema_pearson,0.95611709582511251,,20
CCDC144NL+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCDC144NL+ctrl,trishift_pearson_delta,0.15756370575746553,,20
CCDC144NL+ctrl,systema_pearson,0.60536426303838209,,20
CCNQ+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCNQ+ctrl,trishift_pearson_delta,-0.70423519346485208,,20
CCNQ+ctrl,systema_pearson,-0.87428639539749009,,20
CCP110+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCP110+ctrl,trishift_pearson_delta,0.18489246257134129,,20
CCP110+ctrl,systema_pearson,0.73176742017972607,,20
CCT2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCT2+ctrl,trishift_pearson_delta,0.48680437011380634,,20
CCT2+ctrl,systema_pearson,-0.96657241400008043,,20
CDC42+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDC42+ctrl,trishift_pearson_delta,-0.18740477824228866,,19
CDC42+ctrl,systema_pearson,0.086520936460022999,,19
CDC7+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDC7+ctrl,trishift_pearson_delta,-0.73219839660692443,,20
CDC7+ctrl,systema_pearson,-0.85416928969464501,,20
CDIPT+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDIPT+ctrl,trishift_pearson_delta,-0.071652028098010065,,20
CDIPT+ctrl,systema_pearson,0.6118537505090178,,20
CDK7+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDK7+ctrl,trishift_pearson_delta,0.46957883804647854,,20
CDK7+ctrl,systema_pearson,0.063853886508753593,,20
CEBPG+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CEBPG+ctrl,trishift_pearson_delta,-0.81662952379731013,,20
CEBPG+ctrl,systema_pearson,-0.69287395948825237,,20
CEBPZ+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CEBPZ+ctrl,trishift_pearson_delta,-0.46430695371273212,,20
CEBPZ+ctrl,systema_pearson,-0.95852205010564051,,20
CENPA+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CENPA+ctrl,trishift_pearson_delta,0.43687232255901998,,20
CENPA+ctrl,systema_pearson,-0.27259088853545532,,20
CENPI+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CENPI+ctrl,trishift_pearson_delta,0.68261138475420202,,20
CENPI+ctrl,systema_pearson,-0.96823761031562283,,20
CENPJ+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CENPJ+ctrl,trishift_pearson_delta,-0.14000377601609251,,20
CENPJ+ctrl,systema_pearson,-0.64580463007618438,,20
CENPT+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CENPT+ctrl,trishift_pearson_delta,0.18025923024334964,,20
CENPT+ctrl,systema_pearson,-0.44179289051275211,,20
CEP152+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CEP152+ctrl,trishift_pearson_delta,-0.046612604485003178,,20
CEP152+ctrl,systema_pearson,0.046356794075098351,,20
CEP68+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CEP68+ctrl,trishift_pearson_delta,-0.2904254512238606,,20
CEP68+ctrl,systema_pearson,-0.16938755394449231,,20
CHCHD1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHCHD1+ctrl,trishift_pearson_delta,0.074187506151487212,,20
CHCHD1+ctrl,systema_pearson,0.51023051440943734,,20
CHCHD2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHCHD2+ctrl,trishift_pearson_delta,-0.22691739449530648,,20
CHCHD2+ctrl,systema_pearson,-0.25187375253230154,,20
CHD4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHD4+ctrl,trishift_pearson_delta,0.22822820506754557,,20
CHD4+ctrl,systema_pearson,0.34444732177252319,,20
CHMP2A+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHMP2A+ctrl,trishift_pearson_delta,-0.098015354736225233,,20
CHMP2A+ctrl,systema_pearson,0.34388412448157313,,20
CHMP3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHMP3+ctrl,trishift_pearson_delta,-0.062377431796425631,,20
CHMP3+ctrl,systema_pearson,-0.10191561977679689,,20
CHTF18+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHTF18+ctrl,trishift_pearson_delta,-0.40357837059548185,,20
CHTF18+ctrl,systema_pearson,-0.32430714694425727,,20
CHTOP+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHTOP+ctrl,trishift_pearson_delta,-0.14700707778475669,,20
CHTOP+ctrl,systema_pearson,-0.27995511069321144,,20
CLPB+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CLPB+ctrl,trishift_pearson_delta,-0.05513944305170905,,20
CLPB+ctrl,systema_pearson,-0.086116847193677293,,20
CMTR2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CMTR2+ctrl,trishift_pearson_delta,0.23495457893420651,,20
CMTR2+ctrl,systema_pearson,0.14067716323872698,,20
CNOT1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CNOT1+ctrl,trishift_pearson_delta,-0.069593443177802014,,20
CNOT1+ctrl,systema_pearson,-0.52447209532720018,,20
CNOT11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CNOT11+ctrl,trishift_pearson_delta,-0.19441744826709892,,20
CNOT11+ctrl,systema_pearson,0.96813840692755504,,20
COG3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COG3+ctrl,trishift_pearson_delta,-0.27601282403119498,,20
COG3+ctrl,systema_pearson,0.23965129523275516,,20
COPB1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COPB1+ctrl,trishift_pearson_delta,-0.42637954177961995,,20
COPB1+ctrl,systema_pearson,-0.88868523988242176,,20
COPS4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COPS4+ctrl,trishift_pearson_delta,-0.17772715178917373,,20
COPS4+ctrl,systema_pearson,-0.68673470203501019,,20
COPZ1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COPZ1+ctrl,trishift_pearson_delta,0.19283782172276964,,20
COPZ1+ctrl,systema_pearson,0.22658041474345983,,20
COQ4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COQ4+ctrl,trishift_pearson_delta,-0.59102161799506758,,20
COQ4+ctrl,systema_pearson,-0.46561006625447976,,20
COX11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COX11+ctrl,trishift_pearson_delta,-0.53013318302517609,,20
COX11+ctrl,systema_pearson,-0.43906428013648741,,20
COX5A+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COX5A+ctrl,trishift_pearson_delta,-0.24100710420573404,,20
COX5A+ctrl,systema_pearson,-0.58593061267966196,,20
CPEB1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CPEB1+ctrl,trishift_pearson_delta,-0.57142073594747878,,20
CPEB1+ctrl,systema_pearson,-0.8721250765987012,,20
CPNE7+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CPNE7+ctrl,trishift_pearson_delta,-0.42323687999074705,,20
CPNE7+ctrl,systema_pearson,-0.4065747625779832,,20
CRCP+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CRCP+ctrl,trishift_pearson_delta,-0.069261739742471157,,20
CRCP+ctrl,systema_pearson,0.11236641492270319,,20
CRLS1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CRLS1+ctrl,trishift_pearson_delta,-0.16991780902881967,,20
CRLS1+ctrl,systema_pearson,0.3274639421923069,,20
CSTF3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CSTF3+ctrl,trishift_pearson_delta,-0.08361618699905364,,20
CSTF3+ctrl,systema_pearson,-0.61588965913808702,,20
CTBP2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CTBP2+ctrl,trishift_pearson_delta,-0.472500441161257,,20
CTBP2+ctrl,systema_pearson,0.52927467463025513,,20
CTR9+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CTR9+ctrl,trishift_pearson_delta,0.42976734022503088,,20
CTR9+ctrl,systema_pearson,-0.095187712936951843,,20
CWC15+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CWC15+ctrl,trishift_pearson_delta,0.21334784233711418,,20
CWC15+ctrl,systema_pearson,-0.20157512167036662,,20
CWC22+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CWC22+ctrl,trishift_pearson_delta,0.083299457010862485,,20
CWC22+ctrl,systema_pearson,-0.60607769331927253,,20
CWC25+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CWC25+ctrl,trishift_pearson_delta,0.093478539796032309,,20
CWC25+ctrl,systema_pearson,0.22283905734078241,,20
CXXC1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CXXC1+ctrl,trishift_pearson_delta,-0.17122070170495871,,20
CXXC1+ctrl,systema_pearson,-0.91524505398041289,,20
CYP2A13+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CYP2A13+ctrl,trishift_pearson_delta,-0.15498734109874934,,20
CYP2A13+ctrl,systema_pearson,-0.10089212299770668,,20
DAD1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DAD1+ctrl,trishift_pearson_delta,0.080071760035054007,,19
DAD1+ctrl,systema_pearson,-0.7278799601330217,,19
DAP3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DAP3+ctrl,trishift_pearson_delta,-0.731769544200078,,20
DAP3+ctrl,systema_pearson,0.23484568766806541,,20
DAXX+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DAXX+ctrl,trishift_pearson_delta,-0.049668078937618119,,20
DAXX+ctrl,systema_pearson,-0.49002697909551785,,20
DBR1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DBR1+ctrl,trishift_pearson_delta,-0.28983177318839526,,20
DBR1+ctrl,systema_pearson,0.59576771933295392,,20
DCTN1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DCTN1+ctrl,trishift_pearson_delta,-0.58547496876129179,,20
DCTN1+ctrl,systema_pearson,-0.66244072247440544,,20
DCUN1D5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DCUN1D5+ctrl,trishift_pearson_delta,0.8788319254157213,,20
DCUN1D5+ctrl,systema_pearson,-0.9235587639103392,,20
DDX10+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX10+ctrl,trishift_pearson_delta,0.73092750455907074,,20
DDX10+ctrl,systema_pearson,-0.87243296169488704,,20
DDX19A+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX19A+ctrl,trishift_pearson_delta,0.13034357603143737,,20
DDX19A+ctrl,systema_pearson,0.72712381208587862,,20
DDX24+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX24+ctrl,trishift_pearson_delta,-0.36842242745740511,,20
DDX24+ctrl,systema_pearson,-0.83382247631399131,,20
DDX27+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX27+ctrl,trishift_pearson_delta,-0.16105507894871365,,20
DDX27+ctrl,systema_pearson,-0.97187679926420478,,20
DDX41+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX41+ctrl,trishift_pearson_delta,-0.12001209754924173,,20
DDX41+ctrl,systema_pearson,-0.68452868789704058,,20
DDX46+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX46+ctrl,trishift_pearson_delta,0.069173912585131989,,20
DDX46+ctrl,systema_pearson,-0.67891214989381843,,20
DDX5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX5+ctrl,trishift_pearson_delta,0.12129038949495373,,20
DDX5+ctrl,systema_pearson,-0.47519511432061606,,20
DDX51+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX51+ctrl,trishift_pearson_delta,0.59845324819375678,,20
DDX51+ctrl,systema_pearson,-0.94777816431180262,,20
DDX56+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX56+ctrl,trishift_pearson_delta,0.50279207454433961,,20
DDX56+ctrl,systema_pearson,-0.93307088772131186,,20
DESI1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DESI1+ctrl,trishift_pearson_delta,-0.65537942315017872,,20
DESI1+ctrl,systema_pearson,0.05229982781995654,,20
DHDDS+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DHDDS+ctrl,trishift_pearson_delta,-0.057612755106159638,,20
DHDDS+ctrl,systema_pearson,-0.25678495080003449,,20
DHFR+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DHFR+ctrl,trishift_pearson_delta,0.51666058791930169,,20
DHFR+ctrl,systema_pearson,0.11446188377380687,,20
DHX15+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DHX15+ctrl,trishift_pearson_delta,-0.22744323179325357,,20
DHX15+ctrl,systema_pearson,-0.63232842487564722,,20
DHX29+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DHX29+ctrl,trishift_pearson_delta,-0.15486153534893451,,20
DHX29+ctrl,systema_pearson,-0.30754763783659522,,20
DNAAF3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DNAAF3+ctrl,trishift_pearson_delta,0.15294588012118424,,20
DNAAF3+ctrl,systema_pearson,0.11556507111866285,,20
DNAJC11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DNAJC11+ctrl,trishift_pearson_delta,0.5057789116554896,,20
DNAJC11+ctrl,systema_pearson,0.50195339722374532,,20
DNAJC17+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DNAJC17+ctrl,trishift_pearson_delta,0.33717230145782695,,20
DNAJC17+ctrl,systema_pearson,-0.69874052040050971,,20
DNAJC9+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DNAJC9+ctrl,trishift_pearson_delta,0.13453501357060846,,20
DNAJC9+ctrl,systema_pearson,-0.74489362962331462,,20
DNLZ+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DNLZ+ctrl,trishift_pearson_delta,0.2907322158175894,,20
DNLZ+ctrl,systema_pearson,0.94885708578718575,,20
DNM1L+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DNM1L+ctrl,trishift_pearson_delta,0.031284303607691077,,20
DNM1L+ctrl,systema_pearson,0.15670802981466778,,20
DNMT1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DNMT1+ctrl,trishift_pearson_delta,-0.27546128427972011,,20
DNMT1+ctrl,systema_pearson,-0.034742653161331752,,20
DNTTIP2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DNTTIP2+ctrl,trishift_pearson_delta,0.1679074705444277,,20
DNTTIP2+ctrl,systema_pearson,-0.87229477490297236,,20
DONSON+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DONSON+ctrl,trishift_pearson_delta,-0.39743371363729418,,20
DONSON+ctrl,systema_pearson,-0.1247909901060763,,20
DPH1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DPH1+ctrl,trishift_pearson_delta,0.096844000256302146,,20
DPH1+ctrl,systema_pearson,-0.29351600977069181,,20
DPH6+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DPH6+ctrl,trishift_pearson_delta,-0.51469613440047801,,20
DPH6+ctrl,systema_pearson,-0.12662967810343023,,20
DPY19L4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DPY19L4+ctrl,trishift_pearson_delta,0.51824438510014215,,20
DPY19L4+ctrl,systema_pearson,-0.62878404646604014,,20
DYNLL1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DYNLL1+ctrl,trishift_pearson_delta,-0.21226627029718731,,19
DYNLL1+ctrl,systema_pearson,-0.77151640226404739,,19
EEF1A1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
EEF1A1+ctrl,trishift_pearson_delta,0.2134095245484125,,20
EEF1A1+ctrl,systema_pearson,0.61251845163617757,,20
EEF1B2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
EEF1B2+ctrl,trishift_pearson_delta,-0.17367236394109054,,19
EEF1B2+ctrl,systema_pearson,0.27326689739869275,,19
EEF1G+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
EEF1G+ctrl,trishift_pearson_delta,0.83136314140179712,,20
EEF1G+ctrl,systema_pearson,0.76726272140005669,,20
EEF2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
EEF2+ctrl,trishift_pearson_delta,0.12493498370717006,,20
EEF2+ctrl,systema_pearson,-0.83928645221463405,,20
EHMT2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
